#,Workflow Task,Element ID,Data Element,Description/Definition,Use Case,Clinical Information Group,Data Type,Source,Examples,Required?,Conditional?,Occurance,Code System / Annotation (e.g. SNOMED),CDG Comments,CDG Status,FHIR Profile,PH CORE IG,Existing External FHIR Profile,FHIR Element (R4),FHIR Cardinality (local),FHIR Data Type,Remarks,Value Set,TDG Status,TDG Comments,"CDG 
consensus",Dr.Alvin ,Dr.Jaime,Dr.Paolo B.,Dr.Juno,Dr.Thomas,Dr.Sofia,Open Questions,JL,JL Decision
,,,Name of the Data Element in the Form,Description/Definition of the data element,,"Name of the clinical information Group (e.g. Referring Provider, Patient, Receiving Provider, Clinical Summary, Medication etc)","Data type in which data is captured; text, coded value etc.). This is not FHIR Data type","What is source of truth for this information (e.g. EMR, paper form etc)",Include Real World example of how data is captured for this element. Paste here or link to images,"Is the Data Element required, conditional or optional?
 (Yes or No)",Only for conditional items. What condition must be true?,,,,,What is the FHIR Resource that will be used to capture the data?,Would this profile be drived from PH CORE IG,Would this be drived from any other existing FHIR Profile / IG,What is the FHIR Resource and Element that will be used to capture the data?,What is the FHIR Cardinality of the selected FHIR path (resource and element)?,What is the FHIR Data Type?,Additional Information about the mapping of data element,Is there a codesystem / valueset required in the form?,,,,,,,,,,List down any open questions regarding this item. ,,
,Create Referral,REF-1,Name of Referring Practitioner ,Printed name of professional,Generic,01 Sending Practitioner (requestor),Name,,,Yes,,,,,Final for TDG,PractitionerRole,,,PractitionerRole.practitioner → Practitioner.name,1..1,Reference/HumanName,Tie to Initiating Facility via PractitionerRole.organization.,—,,,,,,,,Include,,,"OK – Printed name of referring health professional responsible for referral.
 - Prefer PractitionerRole reference; allow text if no provider registry.
 Workflow: Create Referral & Documentation.",Include
,,,Practitioner Role,,Generic,01 Sending Practitioner (requestor),,,"Midwife, District Nurse, District MEdical Officer",,,,,,Final for TDG,,,,,,,,,,,,,,,,Include,,,,
,Create Referral,REF-3,Date & Time of Signature,When signed,Generic,01 Sending Practitioner (requestor),DateTime,,,No,,,,,Future Release,Provenance,,,Provenance.occurredDateTime,0..1,dateTime,,—,,,,,,,,Include,,,"CHANGE – Make signature timestamp conditional + fix Element ID duplication.
 - Condition: required if signature/attestation captured; else auto timestamp on submission.
 - Element ID “REF-3” duplicated in sheet → assign unique ID.
 Workflow: Create Referral & Documentation.",Review
,,,Acomapnies Halthcare Worker,,,Where does this fit? does this need to be included for handover? What is clinical significance,,,,,,,,,,,,,,,,,,,,,,,,,Exclude,,,,,,,,,,
,Create Referral,REF-2,Professional Signature,Signature of the professional,Generic,01 Sending Practitioner (requestor),Signature/ who is signing this? ,,,No,,,,,Future Release,Provenance,,,Provenance.signature (targets ServiceRequest),0..1,Signature,Digital or scanned signature in DocumentReference.,—,,,,,,,,Exclude,,,"OPEN QUESTION – Digital signature/attestation requirement for MVP? This would complicate our eRef
 - Option A: keep Provenance.signature (electronic) or scanned attachment.
 - Option B: typed name + system timestamp as attestation.
 Workflow: Create Referral & Documentation.",Review
,Create Referral,REF-4,Initiating Facility Name,"Referring facility official name. 
Imp: For pregnancy it is Brrangay Name",Generic,02 Sending Facility (requestor),Text,"National Health Facility Registry / 
HIS",Dr Alvin to add example of actual Value,Required,,1.0,National Health Registry Facility Coded / Structured codesysetm,,Final for TDG,Organization,,,Organization.name,1..1,string,Pair with NHFR identifier below.,DOH NHFR Code (identifier system),New,,,,,,,Include,,,"CHANGE – Content OK; fix Element ID collision with REF-3.
- Define as official facility name (prefer auto-populated via NHFR code).
- Barangay detail belongs in address, not facility name.
Workflow: Create Referral & Documentation.",Review
,Create Referral,REF-5,Initiating Facility NHFR Code,DOH National Health Facility Registry code,Generic,02 Sending Facility (requestor),Code,,,Yes,,,,,In-Review,Organization,,,Organization.identifier(system=NHFR),1..1,Identifier,Use the PH-Core NHFR identifier slice.,ph-core-doh-nhfr-code,New,,,,,,,Include,,,"OK – Use NHFR code as primary facility identifier to support routing/auto-fill.
- Conditional: required unless facility not yet in NHFR (use temporary local ID).
Workflow: Create Referral & Documentation.",Include
,Create Referral,REF-6,Initiating Facility Address,Facility address,Generic,02 Sending Facility (requestor),Address,,,No,,,,,Final for TDG,Organization,,,Organization.address,0..*,Address,Use PH-Core address slices.,PH-Core Address,New,,,,,,,Include,,,"OK – Keep optional if address is retrievable from NHFR; else allow manual entry.
Workflow: Create Referral & Documentation.",Include
,Create Referral,REF-7,Initiating Facility Contact Number,Facility phone number,Generic,02 Sending Facility (requestor),Phone Number,,,No,,,,,In-Review,Organization,,,Organization.telecom(system=phone),0..*,ContactPoint,,—,New,,,,,,,Include,,,"OK – Needed for coordination; can be auto-filled from directory.
Workflow: Communicate & Coordinate.",Include
,Create Referral???,REF-8,Receiving Personnel,Name of receiving staff/navigator,Generic,03 Recieving Practitioner,Name,,,No,,,,"is this person recieving practitioner at recieving facility or somewhere in the middle for referral routing? 

If it's middle-person, what's the clinical importance of capturing their name? How will sender know their name?",In-Review,Communication,,,Communication.recipient (Reference to Practitioner/PractitionerRole),0..*,Reference,Capture as recipient; also add PractitionerRole if known.,—,New,,,,,,,Include,,,"CHANGE – Clarify “who/when”: receiving staff/navigator who acknowledged/accepted referral.
Existing note: clarify if this is receiving facility staff vs intermediary (PHU navigator).
- Not expected at referral creation; capture during accept/receipt.
Workflow: Transfer Confirmation / Reception.",Review
,Create Referral,REF-9,Receiving Facility Name,Intended receiving facility,Generic,04 Receiving Facility,Location Name? ,,,Yes,,,,,In-Review,Organization,,,Organization.name,1..1,string,The target Organization.,DOH NHFR Code,New,,,,,,,Include,,,"CHANGE – Receiving facility may change if redirected.
- Define whether to store original target + final receiving facility.
Workflow: Select Receiving Facility.",Review
,Create Referral,REF-10,Receiving Facility NHFR Code,DOH facility code of receiver,Generic,04 Receiving Facility,Code,,,No,,,,,In-Review,Organization,,,Organization.identifier(system=NHFR),0..*,Identifier,,ph-core-doh-nhfr-code,New,,,,,,,Include,,,"CHANGE – Conditional required once final receiving facility is confirmed.
- If Response=Accepted/Redirected, capture NHFR code of the (final) receiving facility.
Workflow: Select Receiving Facility / Transfer Confirmation.",Review
,Create Referral,REF-11,Health Care Provider Network (HCPN) Name,Name of the Health Care Provider Network for Referrals. Referrals can only be be within Network,Generic,05 Referral Request,Free text,,,No,,,,,On-Hold,Organization,,,Organization.name,0..1,string,HCPN header; may be the network Organization separate from facilities.,—,New,,,,,,,Include,,,"CHANGE – Appears as header in referral form, but avoid free-text if possible.
- Prefer computed/selected HCPN (config) rather than manual typing.
- If selectable, use dropdown list “TO DEFINE”.
Workflow: Create Referral & Documentation.",Review
,Create Referral,REF-12,Date of Referral,Date the referral was created,Generic,05 Referral Request,Date,,,Yes,,,,,In-Review,ServiceRequest,,,ServiceRequest.authoredOn,1..1,dateTime,The referral creation timestamp.,—,New,,,,,,,Include,,,"OK – Core field for referral creation; prefer dateTime for audit.
Workflow: Create Referral & Documentation.",Include
,Create Referral,REF-13,Referral Category,Urgency and setting indicated by the referrer (emergency vs outpatient/routine).,Generic,05 Referral Request,List,,,Yes,,,,,In-Review,ServiceRequest (PH Core profile),,,ServiceRequest.priority,1..1,code,"Primary, standards-based capture of the checkbox. Use this even if you also keep a local coded extension.",request-priority (http://hl7.org/fhir/request-priority) with mapping: Emergency → stat; Outpatient → routine.,New,,,,,,,Include,,,"OPEN QUESTION – Harmonize “Emergency vs Outpatient” with PHU triage levels.
- Decide: 1 field (setting) or 2 fields (setting + urgency).
- If using FHIR priority mapping, document allowed values + local extension if needed.
Workflow: Triage & Categorization.",Review
,Create Referral,REF-14,Time Called*,This is the date and time when the sending facility called the  receiving facility regarding Initial Referral inquiry,Generic,05 Referral Request,DateTime,,,No,,,,Does this need to be captured?,In-Review,Communication,,,Communication.sent,0..1,dateTime,Create a Communication instance of type “phone call”; also mirror to Task.authoredOn if used.,—,New,,,,,,,Include,,,"OK (conditional) – Present in paper form for emergency calls.
Existing note: Yes, capture when phone call is required.
- Condition: required when Referral Category indicates emergency/urgent and call is made.
- Consider allowing multiple contact attempts (0..*).
Workflow: Communicate & Coordinate.",Include
,Create Referral,REF-15,Reason for Referral (service type),Classification of the requested service,Generic,05 Referral Request,Structured List,,,Yes,,,,,Final for TDG,ServiceRequest,,,ServiceRequest.category,0..*,CodeableConcept,Local VS now; prefer SNOMED binding later,Consultation; Diagnostics; Treatment/Procedure; Others,New,,,,,,,Include,,,"OK – Ensure value set matches referral form service-type options; keep codes “TO DEFINE” if not finalized.
Workflow: Create Referral & Documentation.",Include
,Referral Triage,REF-16,Action Point: Received,Receiving facility confirms receipt,,05 Referral Request,"What would be returned? think is clinical terms? Is this after referral decision, or system level acknowledgement",,,No,,,,,,referred),,,Task,Task.status (accepted) + Task.note,0..1,code/Annotation,ValueSet: ReferralAction (received,,,,,,,,Include,,,"CHANGE – Define “Received” as an explicit acknowledgment event (with timestamp + actor).
- Clarify difference between “delivered” vs “acknowledged/received”.
Workflow: Transfer Confirmation.",Include
,Referral Triage,REF-17,Action Point: Referred (Forwarded),Case redirected to another facility,,05 Referral Request,"Tick Box  --- Should this be part of Referral Decision?? Accepted, Rejected, Forwarded??? ",,,No,,,,,,Task,,,New Task (owner=next facility) + Task.basedOn,0..*,Reference/code,Create another Task; link via basedOn or partOf.,ValueSet: ReferralAction,,,,,,,,Include,,,"CHANGE – Clarify meaning: redirected/forwarded to another facility.
- Avoid duplication with Response=Redirected; define which is the authoritative field.
Workflow: Transfer Confirmation.",Review
,Send Feedback,REF-18,Return Referral Slip (Attachment),Back-referral summary,,05 Referral Request,File .... Not clear what is this????,,,No,,,,,,DocumentReference,,,DocumentReference.type=”back-referral” + content.attachment,0..*,Attachment,Can also send as Communication to PCP.,—,,,,,,,,Exclude,,,"OK – Needed for back-referral/return slip feedback loop.
- Define expected content (summary, diagnosis, interventions, plan) and attach as DocumentReference.
Workflow: Post-Referral Feedback / Return Slip / Back Referral.",Include
,,REF-19,Call/Email Reference,Channel used and reference,,05 Referral Request,Text --- notes????,,,No,,,,,,Communication,,,Communication.category + medium + note,0..*,CodeableConcept/string,Supports auditability of contact attempts.,ValueSet: ContactChannel,,,,,,,,Review,,,"OK – Supports audit trail of communication channel + reference.
- Prefer coded channel (phone/SMS/email/app) + optional reference/identifier.
Workflow: Communicate & Coordinate.",Include
,Presenting Patient,REF-20,Patient Full Name,Patient legal name,Generic,06 Patient Demographics,Name,,,Yes,,,,,,Patient,,,Patient.name,1..*,HumanName,Use usual name + official if applicable.,—,,,,,,,,Include,,,"OK – Core demographic. Support “unknown/unidentified” handling per emergency workflow (use alias).
Workflow: Create Referral & Documentation.",Include
,Presenting Patient,REF-21,Sex (Administrative Gender),Administrative gender of patient,Generic,06 Patient Demographics,Coded List?,,,Yes,,,,,,Patient,,,Patient.gender,1..1,code,male,HL7 AdministrativeGender,,,,,,,,Include,,,"OK – Administrative gender; allow unknown.
Workflow: Create Referral & Documentation.",Include
,Presenting Patient,REF-22,Birth Date,Patient date of birth,Generic,06 Patient Demographics,Date,,,Yes,,,,,,Patient,,,Patient.birthDate,1..1,date,“Age” on form can be calculated.,—,,,,,,,,Include,,,"OK – Birth date supports age; allow unknown if not available.
Workflow: Create Referral & Documentation.",Include
,Presenting Patient,REF-23,Age (computed),Derived age at referral,Generic,06 Patient Demographics,Formula / Logic,,,No,,,,,,Observation (optional),,,Observation.valueQuantity,0..1,Quantity,Prefer to compute age from birthDate (no need to persist).,—,,,,,,,,Include,,,"OK – Computed; do not require exchange if birthDate present.
- If shared, mark as derived “age at referral”.
Workflow: Create Referral & Documentation.",Include
,Presenting Patient,REF-24,Identity Number (PhilSys),PhilSys National ID number,Generic,06 Patient Demographics,ID,,,No,,,,,,Patient,,,Patient.identifier(system=PhilSys),0..*,Identifier,Use PH-Core PhilSys identifier slice.,ph-core-philsys-id,,,,,,,,Include,,,"OPEN QUESTION – Sensitive identifier; apply data minimization.
- Send only if available and needed for matching; otherwise rely on local patient ID.
- Enforce role-based access + audit trail.
Workflow: Registry / Reporting / Audit.",Review
,Presenting Patient,REF-25,PhilHealth ID,PhilHealth membership number,Generic,06 Patient Demographics,ID,,,No,,,,,,Patient or Coverage,,,Patient.identifier(system=PhilHealth) or Coverage.subscriberId,0..*,Identifier/string,"If capturing insurance formally, add a Coverage resource.",ph-core-philhealth-id,,,,,,,,Include,,,"OPEN QUESTION – Clarify necessity and placement (Patient vs Coverage).
- If used for insurance verification/claims linkage, consider Coverage.
- Apply access controls; avoid collecting if not needed for referral.
Workflow: Registry / Reporting / Audit.",Review
,Presenting Patient,REF-26,Patient Address,Current residence address,Generic,06 Patient Demographics,Address,,,Yes,,,,,,Patient,,,Patient.address,1..*,Address,"Use barangay, city/municipality, province as sub-fields.",PH-Core Address,,,,,,,,Include,,,"OK – Core demographic; allow structured address if available.
Workflow: Create Referral & Documentation.",Include
,Presenting Patient,REF-27,Contact Number,Patient phone,Generic,06 Patient Demographics,Phone Number? Do we need phone number type?,,,No,,,,,,Patient,,,Patient.telecom(system=phone),0..*,ContactPoint,,—,,,,,,,,Include,,,"OK – Patient/guardian contact numbers; allow multiple.
Workflow: Create Referral & Documentation.",Include
,Presenting Patient,REF-28,Accompanied By / Next of Kin,Companion/guardian details,Generic,06 Patient Demographics,is this name? or other details? ,,,No,,,,,,RelatedPerson (PH-Core-RelatedPerson),,,RelatedPerson.patient + name + telecom + relationship,0..*,Reference & elements,"Optional, per PH-Core RelatedPerson.",—,,,,,,,,Include,,,"OK – Companion/guardian is important for transfer + consent follow-up.
- Capture relationship + contact; align with “accompanying person” documentation.
Workflow: Transfer / Reception.",Include
,Presenting Patient,REF-29,Patient Disability Registration,PWD registration status/ID,,06 Patient Demographics,Tick Box/Text  --- is this coded list? or free text? ,,,No,,,,,,Patient,,,Patient.extension(pddRegistration),0..1,Extension,If your PH-Core defines this extension.,ph-core-pdd-registration,,,,,,,,,,,"OPEN QUESTION – Clarify whether this is PWD status (yes/no) vs PWD ID number.
- Prefer capturing status only; collect ID only if necessary.
Workflow: Create Referral & Documentation.",Review
,Assess Patient Condition,REF-30,Chief Complaint,Presenting complaint,,07 Clinical Information,"Text  / Would this be Pregnancy Dx, or any other symptoms? ",,,No,,,,,,Observation,,,Observation.code + valueString,0..1,CodeableConcept + string,Alternatively a Condition (symptom).,LOINC 10154-3 (or SNOMED),,,,,,,,,,,"CHANGE – Core clinical summary; define as concise presenting complaint.
- Consider making required at least for emergency referrals.
Workflow: Create Referral & Documentation / SBAR.",Review
,Attach Clinical Summary,REF-31,Clinical History,Pertinent history,,07 Clinical Information,"What history is this?? break this down. Social, Sexual, Tobacoo. Shouldn't this be diesease specific?",,,No,,,,,,ServiceRequest,,,ServiceRequest.note,0..*,Annotation,Or separate Observations/Conditions.,—,,,,,,,,,,,"CHANGE – Define as “pertinent history + assessment summary” (narrative for MVP).
- Add max length guidance; structure later if needed.
Workflow: Create Referral & Documentation.",Review
