#,Workflow Task,Element ID,Data Element,Description/Definition,Use Case,Clinical Information Group,Data Type,Source,Examples,Required?,Conditional?,Occurance,Code System / Annotation (e.g. SNOMED),CDG Comments,CDG Status,FHIR Profile,PH CORE IG,Existing External FHIR Profile,FHIR Element (R4),FHIR Cardinality (local),FHIR Data Type,Remarks,Value Set,TDG Status,TDG Comments,Open Questions,JL Comment
,,,Name of the Data Element in the Form,Description/Definition of the data element,,"Name of the clinical information Group (e.g. Referring Provider, Patient, Receiving Provider, Clinical Summary, Medication etc)","Data type in which data is captured; text, coded value etc.). This is not FHIR Data type","What is source of truth for this information (e.g. EMR, paper form etc)",Include Real World example of how data is captured for this element. Paste here or link to images,"Is the Data Element required, conditional or optional?
 (Yes or No)",Only for conditional items. What condition must be true?,,,,,What is the FHIR Resource that will be used to capture the data?,Would this profile be drived from PH CORE IG,Would this be drived from any other existing FHIR Profile / IG,What is the FHIR Resource and Element that will be used to capture the data?,What is the FHIR Cardinality of the selected FHIR path (resource and element)?,What is the FHIR Data Type?,Additional Information about the mapping of data element,Is there a codesystem / valueset required in the form?,,,List down any open questions regarding this item. ,
,Create Referral,REF-1,Name of Referring Practitioner ,Printed name of professional,Generic,01 Sending Practitioner (requestor),Name,,,Yes,,,,"agree / comments (UN)
put this on hold (JL)",On-Hold,Organization,,,Organization.name,0..1,string,HCPN header; may be the network Organization separate from facilities.,—,New,,,
,Create Referral,REF-2,Practitioner Role,Designation or role of referring professional,Generic,01 Sending Practitioner (requestor),List,Referral form/Record,"Midwife, District Nurse, District MEdical Officer",Yes,,1.0,,,Final for TDG,Organization,,,Organization.name,1..1,string,Pair with NHFR identifier below.,DOH NHFR Code (identifier system),New,,,
,Create Referral,REF-3,Date & Time of Signature,When signed,Generic,01 Sending Practitioner (requestor),DateTime,Referral form/Record,,No,,1.0,,,Final for TDG,Organization,,,Organization.identifier(system=NHFR),1..1,Identifier,Use the PH-Core NHFR identifier slice.,ph-core-doh-nhfr-code,New,,,
,Create Referral,REF-4,Professional Signature,Signature of the professional,Generic,01 Sending Practitioner (requestor),,Referral form/Record,,No,,1.0,,For TDG: Review datatype for signature,For TDG Review,Organization,,,Organization.telecom(system=phone),0..*,ContactPoint,,—,New,,,
,Create Referral,REF-5,Initiating Facility Name,"Referring facility official name. 
Imp: For pregnancy it is Brrangay Name",Generic,02 Sending Facility (requestor),Text,Referral form/Record,Dr Alvin to add example of actual Value,Yes,,1.0,National Health Registry Facility Code,For TDG: Please consider the means of NHFR-based data retrieval ,For TDG Review,ServiceRequest,,,ServiceRequest.authoredOn,1..1,dateTime,The referral creation timestamp.,—,New,,,
,Create Referral,REF-6,Initiating Facility NHFR Code,DOH National Health Facility Registry code,Generic,02 Sending Facility (requestor),Code,Referral form/Record,,Yes,,1.0,National Health Registry Facility Code,Refer to REF-5,For TDG Review,ServiceRequest (PH Core profile),,,ServiceRequest.priority,1..1,code,"Primary, standards-based capture of the checkbox. Use this even if you also keep a local coded extension.",request-priority (http://hl7.org/fhir/request-priority) with mapping: Emergency → stat; Outpatient → routine.,New,,,
,Create Referral,REF-7,Initiating Facility Address,Facility address,Generic,02 Sending Facility (requestor),Address,Referral form/Record,,No,,1.0,National Health Registry Facility Code,Refer to REF-5,For TDG Review,Communication,,,Communication.sent,0..1,dateTime,Create a Communication instance of type “phone call”; also mirror to Task.authoredOn if used.,—,New,,,
,Create Referral,REF-8,Initiating Facility Contact Number,Facility phone number,Generic,02 Sending Facility (requestor),Phone Number,Referral form/Record,,No,,1.0,National Health Registry Facility Code,Refer to REF-5,For TDG Review,Organization,,,Organization.name,1..1,string,The target Organization.,DOH NHFR Code,New,,,
,Create Referral,REF-9,Care Navigator,Name of receiving staff/navigator,Generic,03 Recieving Practitioner,Name,Referral form/Record,,No,,1.0,,,Final for TDG,Organization,,,Organization.identifier(system=NHFR),0..*,Identifier,,ph-core-doh-nhfr-code,New,,,
,Create Referral,REF-10,Receiving Facility Name,Intended receiving facility,Generic,04 Receiving Facility,Free Text,Referral form/Record,,Yes,,1.0,National Health Registry Facility Code,Refer to REF-5,For TDG Review,Communication,,,Communication.recipient (Reference to Practitioner/PractitionerRole),0..*,Reference,Capture as recipient; also add PractitionerRole if known.,—,New,,,
,Create Referral,REF-11,Receiving Facility NHFR Code,DOH facility code of receiver,Generic,04 Receiving Facility,Code,Referral form/Record,,Yes,,1.0,National Health Registry Facility Code,Refer to REF-5,For TDG Review,Task (handling the ServiceRequest),,,Task.businessStatus (code),1..1,CodeableConcept,"Use businessStatus for human-meaningful state (“accepted”, “redirected”). Keep Task.status for the technical state machine (e.g., requested→in-progress→completed).","ValueSet.ReferralDisposition (accepted, declined, redirected)",New,,,
,Create Referral,REF-12,Health Care Provider Network (HCPN) Name,Name of the Health Care Provider Network for Referrals. Referrals can only be be within Network,Generic,05 Referral Request,Free Text,Referral form/Record,,No,,1.0,For TDG recommendation. Additional reference: Health Care Provider Network ID,For TDG: Please consider the means of HCPN-based data retrieval ,For TDG Review,Condition,,,Condition.code,1..1,CodeableConcept,Reference this Condition from ServiceRequest.reasonReference,(SNOMED CT preferred),New,,,
,Create Referral,REF-13,Date of Referral,Date the referral was created,Generic,05 Referral Request,Date,Referral form/Record,,Yes,,1.0,,,Final for TDG,ServiceRequest,,,ServiceRequest.category,0..*,CodeableConcept,Local VS now; prefer SNOMED binding later,Consultation; Diagnostics; Treatment/Procedure; Others,New,,,
,Create Referral,REF-14,Referral Category,Urgency and setting indicated by the referrer (emergency vs outpatient/routine).,Generic,05 Referral Request,List,Referral form/Record,,Yes,,1.0,,,Final for TDG,Patient,,,Patient.name,1..*,HumanName,Use usual name + official if applicable.,—,,,,
,Create Referral,REF-15,Time Called,This is the date and time when the sending facility called the receiving facility regarding initial inquiry of the referral,Generic,05 Referral Request,DateTime,,,No,,1.0,,"Retained definition. Using the tentative decision on REF-17, ""Action point: Return"". Hence, will record non-successful referrals.",Final for TDG,Patient,,,Patient.gender,1..1,code,male,HL7 AdministrativeGender,,,,
,Create Referral,REF-16,Reason for Referral (service type),Classification of the requested service,Generic,05 Referral Request,Structured List,,,Yes,,1.0,,,Final for TDG,Patient,,,Patient.birthDate,1..1,date,“Age” on form can be calculated.,—,,,,
,Referral Triage,REF-17,Action Point: Received,Receiving facility confirms receipt,Generic,05 Referral Request,,,,No,"Action point should reflect the action of the receiver. This data element may be conditional, depending on the receiver's response (accepted, forwarded (to a different facility), or returned/rejected).",,,"Action point should reflect the action of the receiver. This data element may be conditional, depending on the receiver's response (accepted, forwarded (to a different facility), or returned/rejected).",For TDG Review,Observation (optional),,,Observation.valueQuantity,0..1,Quantity,Prefer to compute age from birthDate (no need to persist).,—,
,Referral Triage,REF-18,Action Point: Referred (Forwarded),Case redirected to another facility,Generic,05 Referral Request,,,,No,,,,Refer to REF-17,For TDG Review,Patient,,,Patient.identifier(system=PhilSys),0..*,Identifier,Use PH-Core PhilSys identifier slice.,ph-core-philsys-id,
,Send Feedback,REF-19,Return Referral Slip (Attachment),Back-referral summary,Generic,05 Referral Request,,,,No,,,,Refer to REF-17,For TDG Review,Patient or Coverage,,,Patient.identifier(system=PhilHealth) or Coverage.subscriberId,0..*,Identifier/string,"If capturing insurance formally, add a Coverage resource.",ph-core-philhealth-id,
,,REF-20,Call/Email Reference,Channel used and reference,Generic,05 Referral Request,,,,No,,,,Refer to REF-17,Rejected,Patient,,,Patient.address,1..*,Address,"Use barangay, city/municipality, province as sub-fields.",PH-Core Address,
,Presenting Patient,REF-21,Patient Full Name,Patient legal name,Generic,06 Patient Demographics,Name,,,Yes,,,,,,Patient,,,Patient.telecom(system=phone),0..*,ContactPoint,,—,,,,
,Presenting Patient,REF-22,Sex (Administrative Gender),Administrative gender of patient,Generic,06 Patient Demographics,Coded List,,,Yes,,,,,,RelatedPerson (PH-Core-RelatedPerson),,,RelatedPerson.patient + name + telecom + relationship,0..*,Reference & elements,"Optional, per PH-Core RelatedPerson.",—,,,,
,Presenting Patient,REF-23,Birth Date,Patient date of birth,Generic,06 Patient Demographics,Date,,,Yes,,,,,,Observation,,,Observation.code + valueString,0..1,CodeableConcept + string,Alternatively a Condition (symptom).,LOINC 10154-3 (or SNOMED),,,,
,Presenting Patient,REF-24,Age (computed),Derived age at referral,Generic,06 Patient Demographics,Formula / Logic,,,No,,,,,,ServiceRequest,,,ServiceRequest.note,0..*,Annotation,Or separate Observations/Conditions.,—,,,,
,Presenting Patient,REF-25,Identity Number (PhilSys),PhilSys National ID number,Generic,06 Patient Demographics,ID,,,No,,,,,,Observation,,,Observation.code + valueQuantity,0..*,Quantity,Link to referring Encounter.,"LOINC 8480-6 (Sys), 8462-4 (Dia), panel 85354-9",,,,
,Presenting Patient,REF-26,PhilHealth ID,PhilHealth membership number,Generic,06 Patient Demographics,ID,,,No,,,,,,Observation,,,Observation.code + valueQuantity,0..*,Quantity,,LOINC 8867-4,,,,
,Presenting Patient,REF-27,Patient Address,Current residence address,Generic,06 Patient Demographics,Address,,,Yes,,,,,,Observation,,,Observation.code + valueQuantity,0..*,Quantity,,LOINC 9279-1,,,,
,Presenting Patient,REF-28,Contact Number,Patient phone,Generic,06 Patient Demographics,,,,No,,,,,,Observation,,,Observation.code + valueQuantity,0..*,Quantity,,LOINC 59408-5,,,,
,Presenting Patient,REF-29,Accompanied By / Next of Kin,Companion/guardian details,Generic,06 Patient Demographics,,,,No,,,,,,Observation,,,Observation.code + valueQuantity,0..*,Quantity,,LOINC 8310-5,,,,
,Presenting Patient,REF-30,Patient Disability Registration,PWD registration status/ID,,06 Patient Demographics,,,,No,,,,,,Observation,,,Observation.code + valueQuantity,0..*,Quantity,,LOINC 29463-7,,,,
,Assess Patient Condition,REF-31,Chief Complaint,Presenting complaint,,07 Clinical Information,,,,No,,,,,,DiagnosticReport,,,DiagnosticReport + result + presentedForm,0..*,DiagnosticReport/Attachment,Attach PDFs/images; include result Observations.,LOINC codes; local,,,,
,Attach Clinical Summary,REF-32,Clinical History,Pertinent history,,07 Clinical Information,,,,No,,,,,,Procedure / MedicationAdministration,,,Procedure.code / MedicationAdministration,0..*,CodeableConcept / complex,"Pre-transfer management (IV, oxygen, meds).",SNOMED; RxNorm/ATC/local,,,,
,Attach Clinical Summary,REF-33,Vital Signs – Blood Pressure,"BP at pre-transfer (can we say latest BP, at the time of referral creation??)

Do we need all these vitals for all referrals? or Disease Specific",,07 Clinical Information,Numeric (systolic/diastolic),,,No,,,,,,PractitionerRole,,,PractitionerRole.practitioner → Practitioner.name,1..1,Reference/HumanName,Tie to Initiating Facility via PractitionerRole.organization.,—,,,,
,Attach Clinical Summary,REF-34,Vital Signs – Heart Rate,Pulse rate,,07 Clinical Information,,,,No,,,,,,Provenance,,,Provenance.signature (targets ServiceRequest),0..1,Signature,Digital or scanned signature in DocumentReference.,—,,,,
