#,Column 11,"CDG 
consensus",Dr. Alvin,Dr.Jaime,Dr. Paolo B.,Dr. Juno,Dr. Thomas,Dr.Sofia,Open Questions,JL,JL 2
,,,,,,,,,List down any open questions regarding this item. ,,,,,,,,
1.0,Health Care Provider Network (HCPN) Name,,Presenting with complaint/problem,,,,,,Should HCPN be derived from facility membership (preferred) or selected per referral? Avoid free-text.,Create Referral Request,Agree – but refine definition/type
2,Initiating Facility Name,,Assess Patient Condition,,,,,,,Create Referral Request,Agree – include as core
3,Initiating Facility NHFR Code,,Discuss referral and next steps with patient  (incl. Consent),,,,,,Confirm NHFR identifier system/format; how to handle facilities not yet in NHFR.,Register or Log Referral,Defer to TDG (technical)
4,Initiating Facility Address,,Create Referral Request,,,,,,,Create Referral Request,Agree – include as core
5,Initiating Facility Contact Number,,Attach Clinical Summary / Notes,,,,,,,Create Referral Request,Agree – but refine definition/type
6,Date of Referral,,Send Referral,,,,,,,Create Referral Request,Agree – include as core
7,Referral Category,,Receive Referral,,,,,,Define value set: emergency vs outpatient AND/OR emergent/urgent/non-urgent; decide 1 field vs split.,Triage / Clinical Review,Needs CDG decision
8,Time Called*,,Register or Log Referral,,,,,,Conditional required for emergency/urgent; do we allow multiple contact attempts (0..*)?,Send Referral,Agree – but refine definition/type
9,Receiving Facility Name,,Route for Clinical Triage,,,,,,,Create Referral Request,Agree – include as core
10,Receiving Facility NHFR Code,,Triage /  Clinical Review,,,,,,At what step is NHFR code mandatory (creation vs acceptance/redirect)?,Create Referral Request,Defer to TDG (technical)
11,Receiving Personnel,,Send Response to Sender,,,,,,"Is this the receiving navigator/clinician who accepted, or the contact person in communication? When captured?",Send Response to Sender,Agree – but refine definition/type
12,Response,,Send Response to Sender,,Create Referral Request,,,,,Send Response to Sender,Agree – include as core
13,Working Impression (clinical reason),,Receive Response (From receiver back to sender),,,,,,,Assess Patient Condition,Agree – include as core
14,Reason for Referral (service type),,,,,,,,,Create Referral Request,Agree – include as core
15,Patient Full Name,,,,,,,,,Create Referral Request,Agree – include as core
16,Sex (Administrative Gender),,,,,,,,,Create Referral Request,Agree – include as core
17,Birth Date,,,,,,,,,Create Referral Request,Agree – include as core
18,Age (computed),,,,,,,,,Create Referral Request,Agree – include as core
19,Identity Number (PhilSys),,,,,,,,"Is PhilSys ID optional for matching, or required? Privacy/access control approach?",Register or Log Referral,Needs CDG decision
20,PhilHealth ID,,,,,,,,Needed at referral time or defer to claims? Store in Patient vs Coverage?,Register or Log Referral,Needs CDG decision
21,Patient Address,,,,,,,,,Create Referral Request,Agree – include as core
22,Contact Number,,,,,,,,,Create Referral Request,Agree – include as core
23,Accompanied By / Next of Kin,,,,,,,,,Create Referral Request,Agree – include as core
24,Chief Complaint,,,,,,,,,Presenting with complaint/problem,Agree – but refine definition/type
25,Clinical History,,,,,,,,Narrative-only for MVP vs structured fields (PMH/meds/allergies)?,Create Referral Request,Agree – but refine definition/type
26,Vital Signs – Blood Pressure,,,,,,,,Define which vitals are mandatory per referral category (emergency vs outpatient) + required timestamp/units.,Assess Patient Condition,Agree – but refine definition/type
27,Vital Signs – Heart Rate,,,,,,,,Define which vitals are mandatory per referral category (emergency vs outpatient) + required timestamp/units.,Assess Patient Condition,Agree – but refine definition/type
28,Vital Signs – Respiratory Rate,,,,,,,,Define which vitals are mandatory per referral category (emergency vs outpatient) + required timestamp/units.,Assess Patient Condition,Agree – but refine definition/type
29,Vital Signs – Oxygen Saturation,,,,,,,,Define which vitals are mandatory per referral category (emergency vs outpatient) + required timestamp/units.,Assess Patient Condition,Agree – but refine definition/type
30,Vital Signs – Temperature,,,,,,,,Define which vitals are mandatory per referral category (emergency vs outpatient) + required timestamp/units.,Assess Patient Condition,Agree – but refine definition/type
31,Vital Signs – Weight,,,,,,,,Define which vitals are mandatory per referral category (emergency vs outpatient) + required timestamp/units.,Assess Patient Condition,Agree – but refine definition/type
32,Laboratory Results (attachments),,,,,,,,"Are attachments mandatory for certain service types, or optional?",Attach Clinical Summary / Notes,Agree – but refine definition/type
33,Treatment Given,,,,,,,,Narrative only for MVP vs structured meds/procedures? Minimal required details?,Assess Patient Condition,Agree – but refine definition/type
34,Name of Referring Health Professional,,,,,,,,,Create Referral Request,Agree – include as core
35,Professional Signature,,,,,,,,Is digital signature/attestation required for pilot? Accept typed name + timestamp?,Create Referral Request,Needs CDG decision
36,Date & Time of Signature,,,,,,,,Conditional: required if signature/attestation captured; else system timestamp on submission.,Create Referral Request,Agree – but refine definition/type
37,Action Point: Received,,,,,,,,Define 'received' event: delivered vs acknowledged; capture timestamp + actor.,Send Response to Sender,Agree – but refine definition/type
38,Action Point: Referred (Forwarded),,,,,,,,"Is this separate from Response=Redirected, or derived from redirect action + new target facility?",Send Response to Sender,Agree – but refine definition/type
39,Return Referral Slip (Attachment),,,,,,,,,Attach Clinical Summary / Notes,Agree – include as core
40,Referring Encounter,,,,,,,,,Create Referral Request,Defer to TDG (technical)
41,Receiving Encounter,,,,,,,,,Create Referral Request,Defer to TDG (technical)
42,Transport Mode / Ambulance,,,,,,,,Capture planned vs actual transport mode; minimal value set?,Create Referral Request,Agree – but refine definition/type
43,Call/Email Reference,,,,,,,,Minimum coded channels? Need multiple messages/attempts (0..*) and reference IDs?,Send Referral,Agree – but refine definition/type
44,Navigator (Referring),,,,,,,,,Create Referral Request,Agree – include as core
45,Navigator (Receiving/PHU),,,,,,,,,Create Referral Request,Agree – include as core
46,Patient Disability Registration,,,,,,,,PWD status only vs PWD ID number? Is it needed for referral workflow?,Register or Log Referral,Needs CDG decision
47,,,,,,,,,,,
48,,,,,,,,,,,
49,,,,,,,,,,,
50,,,,,,,,,,,
51,,,,,,,,,,,
52,,,,,,,,,,,
53,,,,,,,,,,,
54,,,,,,,,,,,
55,,,,,,,,,,,
56,,,,,,,,,,,
57,,,,,,,,,,,
58,,,,,,,,,,,
59,,,,,,,,,,,
60,,,,,,,,,,,
61,,,,,,,,,,,
62,,,,,,,,,,,
63,,,,,,,,,,,
64,,,,,,,,,,,
65,,,,,,,,,,,
66,,,,,,,,,,,
67,,,,,,,,,,,
68,,,,,,,,,,,
69,,,,,,,,,,,
70,,,,,,,,,,,
71,,,,,,,,,,,
72,,,,,,,,,,,
73,,,,,,,,,,,
74,,,,,,,,,,,
75,,,,,,,,,,,
76,,,,,,,,,,,
77,,,,,,,,,,,
78,,,,,,,,,,,
79,,,,,,,,,,,
80,,,,,,,,,,,
81,,,,,,,,,,,
82,,,,,,,,,,,
83,,,,,,,,,,,
84,,,,,,,,,,,
85,,,,,,,,,,,
86,,,,,,,,,,,
87,,,,,,,,,,,
88,,,,,,,,,,,
89,,,,,,,,,,,
90,,,,,,,,,,,
91,,,,,,,,,,,
92,,,,,,,,,,,
93,,,,,,,,,,,
94,,,,,,,,,,,
95,,,,,,,,,,,
96,,,,,,,,,,,
97,,,,,,,,,,,
98,,,,,,,,,,,
99,,,,,,,,,,,
100,,,,,,,,,,,
101,,,,,,,,,,,
102,,,,,,,,,,,
103,,,,,,,,,,,
104,,,,,,,,,,,
105,,,,,,,,,,,
106,,,,,,,,,,,
107,,,,,,,,,,,
108,,,,,,,,,,,
109,,,,,,,,,,,
110,,,,,,,,,,,
111,,,,,,,,,,,
112,,,,,,,,,,,
113,,,,,,,,,,,
114,,,,,,,,,,,
115,,,,,,,,,,,
116,,,,,,,,,,,
117,,,,,,,,,,,
118,,,,,,,,,,,
119,,,,,,,,,,,
120,,,,,,,,,,,
121,,,,,,,,,,,
122,,,,,,,,,,,
123,,,,,,,,,,,
124,,,,,,,,,,,
125,,,,,,,,,,,
126,,,,,,,,,,,
127,,,,,,,,,,,
128,,,,,,,,,,,
129,,,,,,,,,,,
130,,,,,,,,,,,
